ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
english-2_all-1-1,english-2_all-1,ɔː.l,175,false,expert,Dunn2012,,,
german-2_all-1-1,german-2_all-1,a.l.ə,175,false,expert,Dunn2012,,,
armenianmod-2_all-1-1,armenianmod-2_all-1,b.o.l.o.ɾ,566,false,expert,Dunn2012,,,
greekmod-2_all-1-1,greekmod-2_all-1,o̞.l.o̞.s,965,false,expert,Dunn2012,,,
italian-2_all-1-1,italian-2_all-1,t.u.tː.o,543,false,expert,Dunn2012,,,
marathi-2_all-1-1,marathi-2_all-1,s.ə.ɾ.w.ə,748,false,expert,Dunn2012,,,
danish-2_all-1-1,danish-2_all-1,ɛ.l,175,false,expert,Dunn2012,,,
portuguesest-2_all-1-1,portuguesest-2_all-1,t.o.ð.u,543,false,expert,Dunn2012,,,
french-2_all-1-1,french-2_all-1,t.u,543,false,expert,Dunn2012,,,
russian-2_all-1-1,russian-2_all-1,v.sʲ.o,1102,false,expert,Dunn2012,,,
spanish-2_all-1-1,spanish-2_all-1,t.o.ð.o,543,false,expert,Dunn2012,,,
swedish-2_all-1-1,swedish-2_all-1,a.l.a,175,false,expert,Dunn2012,,,
bihari-2_all-1-1,bihari-2_all-1,s.ə.b,748,false,expert,Dunn2012,,,
oriya-2_all-1-1,oriya-2_all-1,s.ɔ.b.ɔ,748,false,expert,Dunn2012,,,
dutchlist-2_all-1-1,dutchlist-2_all-1,ɑ.l.ə.s,175,false,expert,Dunn2012,,,
czech-2_all-1-1,czech-2_all-1,f.ʃ.ɪ.x.ɲ.ɪ,1102,false,expert,Dunn2012,,,
bretonst-2_all-1-1,bretonst-2_all-1,ɔ.l,965,false,expert,Dunn2012,,,
catalan-2_all-1-1,catalan-2_all-1,t.o.t,543,false,expert,Dunn2012,,,
urdu-2_all-1-1,urdu-2_all-1,s.ə.b,748,false,expert,Dunn2012,,,
polish-2_all-1-1,polish-2_all-1,k.a.ʒ.d.ɨ,3542,false,expert,Dunn2012,,,
armenianmod-3_and-1-1,armenianmod-3_and-1,j.ɛ.v,567,false,expert,Dunn2012,,,
bretonst-3_and-1-1,bretonst-3_and-1,a,966,false,expert,Dunn2012,,,
catalan-3_and-1-1,catalan-3_and-1,i,848,false,expert,Dunn2012,,,
czech-3_and-1-1,czech-3_and-1,a,1103,false,expert,Dunn2012,,,
danish-3_and-1-1,danish-3_and-1,ɒ.w,1303,false,expert,Dunn2012,,,
dutchlist-3_and-1-1,dutchlist-3_and-1,ɛ.n,176,false,expert,Dunn2012,,,
english-3_and-1-1,english-3_and-1,æ.n.d,176,false,expert,Dunn2012,,,
french-3_and-1-1,french-3_and-1,e,848,false,expert,Dunn2012,,,
german-3_and-1-1,german-3_and-1,ʊ.n.t,176,false,expert,Dunn2012,,,
greekmod-3_and-1-1,greekmod-3_and-1,c.e̞,1447,false,expert,Dunn2012,,,
