ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
english-2_all-1,,english,2_all,ɔ:l,ɔː.l,ɔː l,,Dunn2012,,false,^ ɔː . l $,default
german-2_all-1,,german,2_all,'alə,a.l.ə,a l ə,,Dunn2012,,false,^ a . l . ə $,default
armenianmod-2_all-1,,armenianmod,2_all,boˈloɾ,b.o.l.o.ɾ,b o l o ɾ,,Dunn2012,,false,^ b . o . l . o . ɾ $,default
greekmod-2_all-1,,greekmod,2_all,ˈo̞lo̞s,o̞.l.o̞.s,o̞ l o̞ s,,Dunn2012,,false,^ o̞ . l . o̞ . s $,default
italian-2_all-1,,italian,2_all,'tutto,t.u.tː.o,t u tː o,,Dunn2012,,false,^ t . u . tː . o $,default
marathi-2_all-1,,marathi,2_all,"'səɾwə, 'səgɭə",s.ə.ɾ.w.ə,s ə ɾ w ə,,Dunn2012,,false,^ s . ə . ɾ . w . ə $,default
danish-2_all-1,,danish,2_all,ɛl,ɛ.l,ɛ l,,Dunn2012,,false,^ ɛ . l $,default
portuguesest-2_all-1,,portuguesest,2_all,ˈtoðu,t.o.ð.u,t o ð u,,Dunn2012,,false,^ t . o . ð . u $,default
french-2_all-1,,french,2_all,tu,t.u,t u,,Dunn2012,,false,^ t . u $,default
russian-2_all-1,,russian,2_all,vsʲo,v.sʲ.o,v sʲ o,,Dunn2012,,false,^ v . sʲ . o $,default
spanish-2_all-1,,spanish,2_all,'toðo,t.o.ð.o,t o ð o,,Dunn2012,,false,^ t . o . ð . o $,default
swedish-2_all-1,,swedish,2_all,ˈala,a.l.a,a l a,,Dunn2012,,false,^ a . l . a $,default
bihari-2_all-1,,bihari,2_all,səb,s.ə.b,s ə b,,Dunn2012,,false,^ s . ə . b $,default
oriya-2_all-1,,oriya,2_all,sɔbɔ,s.ɔ.b.ɔ,s ɔ b ɔ,,Dunn2012,,false,^ s . ɔ . b . ɔ $,default
dutchlist-2_all-1,,dutchlist,2_all,'ɑləs,ɑ.l.ə.s,ɑ l ə s,,Dunn2012,,false,^ ɑ . l . ə . s $,default
czech-2_all-1,,czech,2_all,fʃɪxɲɪ,f.ʃ.ɪ.x.ɲ.ɪ,f ʃ ɪ x ɲ ɪ,,Dunn2012,,false,^ f . ʃ . ɪ . x . ɲ . ɪ $,default
bretonst-2_all-1,,bretonst,2_all,ɔl,ɔ.l,ɔ l,,Dunn2012,,false,^ ɔ . l $,default
catalan-2_all-1,,catalan,2_all,tot,t.o.t,t o t,,Dunn2012,,false,^ t . o . t $,default
urdu-2_all-1,,urdu,2_all,səb,s.ə.b,s ə b,,Dunn2012,,false,^ s . ə . b $,default
polish-2_all-1,,polish,2_all,ˈkaʒdɨ,k.a.ʒ.d.ɨ,k a ʒ d ɨ,,Dunn2012,,false,^ k . a . ʒ . d . ɨ $,default
armenianmod-3_and-1,,armenianmod,3_and,jɛv,j.ɛ.v,j ɛ v,,Dunn2012,,false,^ j . ɛ . v $,default
bretonst-3_and-1,,bretonst,3_and,a,a,a,,Dunn2012,,false,^ a $,default
catalan-3_and-1,,catalan,3_and,i,i,i,,Dunn2012,,false,^ i $,default
